,term,score,Df,std,mean,idf,sec_std
6,user,0.12440753685106819,1.0,0.05324420632461583,0.039053891353478115,1.4054651081081644,0.1455423040027098
7,to,0.11856171578031097,5.0,0.05324420632461583,0.039053891353478115,2.09861228866811,0.1455423040027098
8,home,0.11709975363087347,2.0,0.05324420632461583,0.039053891353478115,1.4054651081081644,0.1455423040027098
9,https,0.11709975363087347,2.0,0.05324420632461583,0.039053891353478115,2.09861228866811,0.1455423040027098
10,docker_host,0.10367294737589017,1.0,0.05324420632461583,0.039053891353478115,2.09861228866811,0.1455423040027098
11,dockeruser,0.10367294737589017,1.0,0.05324420632461583,0.039053891353478115,2.09861228866811,0.1455423040027098
12,2376,0.10367294737589017,1.0,0.05324420632461583,0.039053891353478115,2.09861228866811,0.1455423040027098
13,build,0.10037121739789155,2.0,0.05324420632461583,0.039053891353478115,2.09861228866811,0.1455423040027098
14,com,0.10037121739789155,2.0,0.05324420632461583,0.039053891353478115,2.09861228866811,0.1455423040027098
15,properties,0.08364268116490962,2.0,0.05324420632461583,0.039053891353478115,1.6931471805599454,0.1455423040027098
16,github,0.08364268116490962,2.0,0.05324420632461583,0.039053891353478115,2.09861228866811,0.1455423040027098
17,path,0.08293835790071212,1.0,0.05324420632461583,0.039053891353478115,1.6931471805599454,0.1455423040027098
18,unix,0.08293835790071212,1.0,0.05324420632461583,0.039053891353478115,2.09861228866811,0.1455423040027098
19,username,0.08293835790071212,1.0,0.05324420632461583,0.039053891353478115,1.6931471805599454,0.1455423040027098
20,latest,0.08293835790071212,1.0,0.05324420632461583,0.039053891353478115,2.09861228866811,0.1455423040027098
21,localhost,0.08293835790071212,1.0,0.05324420632461583,0.039053891353478115,1.6931471805599454,0.1455423040027098
22,docker_tls_verify,0.08293835790071212,1.0,0.05324420632461583,0.039053891353478115,2.09861228866811,0.1455423040027098
23,docker_cert_path,0.08293835790071212,1.0,0.05324420632461583,0.039053891353478115,2.09861228866811,0.1455423040027098
24,for,0.07904114385354065,5.0,0.05324420632461583,0.039053891353478115,2.09861228866811,0.1455423040027098
25,run,0.0669141449319277,2.0,0.05324420632461583,0.039053891353478115,1.4054651081081644,0.1455423040027098
26,export,0.0669141449319277,2.0,0.05324420632461583,0.039053891353478115,1.0,0.1455423040027098
